Ref,Val,Package,PosX,PosY,Rot,Side
"C3","1uF","C_0603_1608Metric",13.462000,-33.655000,-90.000000,bottom
"C4","100nF","C_0805_2012Metric",12.900000,-5.800000,90.000000,bottom
"CB1","100nF","C_0603_1608Metric",25.527000,-29.337000,-90.000000,bottom
"CB2","100nF","C_0603_1608Metric",14.859000,-29.083000,-90.000000,bottom
"CB3","100nF","C_0603_1608Metric",22.923500,-40.036800,0.000000,bottom
"CB4","10uF","C_0603_1608Metric",14.224000,-37.592000,90.000000,bottom
"CRGB1","100nF","C_0805_2012Metric",-5.664000,-14.050000,0.000000,bottom
"CRGB2","100nF","C_0805_2012Metric",272.364000,-14.050000,180.000000,bottom
"CRGB3","100nF","C_0805_2012Metric",-5.645000,-35.800000,0.000000,bottom
"CRGB4","100nF","C_0805_2012Metric",272.364000,-35.800000,180.000000,bottom
"CSH1","4.7nF","C_0805_2012Metric",29.600000,4.400000,90.000000,bottom
"CSH2","4.7nF","C_0805_2012Metric",103.840000,4.400000,90.000000,bottom
"CX1","22pF","C_0603_1608Metric",22.987000,-25.019000,90.000000,bottom
"CX2","22pF","C_0603_1608Metric",15.748000,-25.019000,-90.000000,bottom
"D1","1N4148","D_0805_2012Metric",-5.384800,-8.432800,90.000000,bottom
"D2","1N4148","D_0805_2012Metric",24.130000,-3.500000,90.000000,bottom
"D3","1N4148","D_0805_2012Metric",43.180000,-3.500000,90.000000,bottom
"D4","1N4148","D_0805_2012Metric",62.230000,-3.500000,90.000000,bottom
"D5","1N4148","D_0805_2012Metric",81.280000,-3.500000,90.000000,bottom
"D6","1N4148","D_0805_2012Metric",100.330000,-3.500000,90.000000,bottom
"D7","1N4148","D_0805_2012Metric",119.380000,-3.500000,90.000000,bottom
"D8","1N4148","D_0805_2012Metric",138.430000,-3.500000,90.000000,bottom
"D9","1N4148","D_0805_2012Metric",157.480000,-3.500000,90.000000,bottom
"D10","1N4148","D_0805_2012Metric",176.530000,-3.500000,90.000000,bottom
"D11","1N4148","D_0805_2012Metric",195.580000,-3.500000,90.000000,bottom
"D12","1N4148","D_0805_2012Metric",214.630000,-3.500000,90.000000,bottom
"D13","1N4148","D_0805_2012Metric",233.680000,-3.500000,90.000000,bottom
"D14","1N4148","D_0805_2012Metric",262.255000,-3.500000,90.000000,bottom
"D15","1N4148","D_0805_2012Metric",271.780000,-3.500000,90.000000,bottom
"D16","1N4148","D_0805_2012Metric",8.842500,-22.550000,90.000000,bottom
"D17","1N4148","D_0805_2012Metric",33.655000,-22.550000,90.000000,bottom
"D18","1N4148","D_0805_2012Metric",52.705000,-22.550000,90.000000,bottom
"D19","1N4148","D_0805_2012Metric",71.755000,-22.550000,90.000000,bottom
"D20","1N4148","D_0805_2012Metric",90.805000,-22.550000,90.000000,bottom
"D21","1N4148","D_0805_2012Metric",109.855000,-22.550000,90.000000,bottom
"D22","1N4148","D_0805_2012Metric",128.905000,-22.550000,90.000000,bottom
"D23","1N4148","D_0805_2012Metric",147.955000,-22.550000,90.000000,bottom
"D24","1N4148","D_0805_2012Metric",167.005000,-22.550000,90.000000,bottom
"D25","1N4148","D_0805_2012Metric",186.055000,-22.550000,90.000000,bottom
"D26","1N4148","D_0805_2012Metric",205.105000,-22.550000,90.000000,bottom
"D27","1N4148","D_0805_2012Metric",224.155000,-22.550000,90.000000,bottom
"D28","1N4148","D_0805_2012Metric",243.205000,-22.550000,90.000000,bottom
"D29","1N4148","D_0805_2012Metric",267.017500,-22.550000,90.000000,bottom
"D30","1N4148","D_0805_2012Metric",-2.063700,-41.600000,90.000000,bottom
"D31","1N4148","D_0805_2012Metric",38.417500,-41.600000,90.000000,bottom
"D32","1N4148","D_0805_2012Metric",57.467500,-41.600000,90.000000,bottom
"D33","1N4148","D_0805_2012Metric",76.517500,-41.600000,90.000000,bottom
"D34","1N4148","D_0805_2012Metric",95.567500,-41.600000,90.000000,bottom
"D35","1N4148","D_0805_2012Metric",114.617500,-41.600000,90.000000,bottom
"D36","1N4148","D_0805_2012Metric",133.667500,-41.600000,90.000000,bottom
"D37","1N4148","D_0805_2012Metric",152.717500,-41.600000,90.000000,bottom
"D38","1N4148","D_0805_2012Metric",171.767500,-41.600000,90.000000,bottom
"D39","1N4148","D_0805_2012Metric",190.817500,-41.600000,90.000000,bottom
"D40","1N4148","D_0805_2012Metric",209.867500,-41.600000,90.000000,bottom
"D41","1N4148","D_0805_2012Metric",228.917500,-41.600000,90.000000,bottom
"D42","1N4148","D_0805_2012Metric",259.873700,-41.600000,90.000000,bottom
"D43","1N4148","D_0805_2012Metric",16.986300,-60.650000,90.000000,bottom
"D44","1N4148","D_0805_2012Metric",47.942500,-60.650000,90.000000,bottom
"D45","1N4148","D_0805_2012Metric",66.992500,-60.650000,90.000000,bottom
"D46","1N4148","D_0805_2012Metric",86.042500,-60.650000,90.000000,bottom
"D47","1N4148","D_0805_2012Metric",105.092500,-60.650000,90.000000,bottom
"D48","1N4148","D_0805_2012Metric",124.142500,-60.650000,90.000000,bottom
"D49","1N4148","D_0805_2012Metric",143.192500,-60.650000,90.000000,bottom
"D50","1N4148","D_0805_2012Metric",162.242500,-60.650000,90.000000,bottom
"D51","1N4148","D_0805_2012Metric",181.292500,-60.650000,90.000000,bottom
