Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0603_1608Metric",99.187000,-63.119000,90.000000,bottom
"C2","22p","C_0603_1608Metric",91.948000,-63.119000,-90.000000,bottom
"C3","0.1u","C_0603_1608Metric",101.727000,-67.437000,-90.000000,bottom
"C4","0.1u","C_0603_1608Metric",91.059000,-67.183000,-90.000000,bottom
"C5","0.1u","C_0603_1608Metric",99.123500,-78.136750,0.000000,bottom
"C6","10u","C_0603_1608Metric",90.424000,-75.692000,90.000000,bottom
"C7","1u","C_0603_1608Metric",89.662000,-71.755000,-90.000000,bottom
"D1","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.120000,-42.100000,90.000000,bottom
"D2","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.330000,-42.100000,90.000000,bottom
"D3","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",119.380000,-42.100000,90.000000,bottom
"D4","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.430000,-42.100000,90.000000,bottom
"D5","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.480000,-42.100000,90.000000,bottom
"D6","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.530000,-42.100000,90.000000,bottom
"D7","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",195.580000,-42.100000,90.000000,bottom
"D8","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",214.630000,-42.100000,90.000000,bottom
"D9","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",233.680000,-42.100000,90.000000,bottom
"D10","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",252.730000,-42.100000,90.000000,bottom
"D11","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",271.780000,-42.100000,90.000000,bottom
"D12","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",290.830000,-42.100000,90.000000,bottom
"D13","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",309.880000,-42.100000,90.000000,bottom
"D14","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",338.455000,-42.100000,90.000000,bottom
"D15","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",347.980000,-42.100000,90.000000,bottom
"D16","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.042500,-61.150000,90.000000,bottom
"D17","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.855000,-61.150000,90.000000,bottom
"D18","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.905000,-61.150000,90.000000,bottom
"D19","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",147.955000,-61.150000,90.000000,bottom
"D20","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.005000,-61.150000,90.000000,bottom
"D21","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.055000,-61.150000,90.000000,bottom
"D22","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.105000,-61.150000,90.000000,bottom
"D23","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",224.155000,-61.150000,90.000000,bottom
"D24","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",243.205000,-61.150000,90.000000,bottom
"D25","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",262.255000,-61.150000,90.000000,bottom
"D26","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",281.305000,-61.150000,90.000000,bottom
"D27","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",300.355000,-61.150000,90.000000,bottom
"D28","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",319.405000,-61.150000,90.000000,bottom
"D29","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",343.217500,-61.150000,90.000000,bottom
